"";"TALHAO_PAR";"b0";"b1";"Rsqr";"Std.Error"
"3666_102";"3666_102";3,40707304242481;-2,23644663543868;-0,0442529835558299;0,0143753924477281
"3666_103";"3666_103";3,54755402781777;-4,82265530715593;0,822913532523026;0,0188174395355067
"3666_104";"3666_104";3,54282111231422;-5,10143976447499;0,70008731372466;0,0176686244632408
"3666_105";"3666_105";3,4010334949721;-3,17715117033776;0,0537927634877885;0,0314255838729081
"3666_106";"3666_106";3,39457990711621;-2,77715493814981;0,143965942769305;0,0204885704989462
"3666_107";"3666_107";3,45566368114099;-3,59964798280415;0,536048118632954;0,0127784236559921
"3666_108";"3666_108";3,61047482722374;-5,82023744880609;0,70498357175234;0,0229999411766498
"3666_109";"3666_109";3,67727374422733;-6,46356605101213;0,772296149089362;0,0169872322239867
"3666_110";"3666_110";3,49325490000594;-3,7712809056391;0,155728389515303;0,0249239013864627
"3666_111";"3666_111";3,49202423704083;-3,91075409990603;0,376874197661108;0,0188559732788191
"3666_112";"3666_112";3,53888741913601;-5,19166823158624;0,858737693542103;0,00932146676659833
"3666_113";"3666_113";3,68067158952664;-7,3004566239836;0,773472039600058;0,0361776420505157
"3666_114";"3666_114";3,53053179795559;-4,85119023119971;0,760531713368388;0,0179377574160117
"3666_115";"3666_115";3,70861885785551;-8,02925839614266;0,965194916499961;0,0066565975748142
