"","TALHAO","PARCELA","COD_ARVORE","CAP","HT","CATEGORIA","HD","b0","b1","b2","Rsqr","Std.Error"
"710",3656,115,203,22,0,"Outros Fustes",23.15,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"711",3656,115,204,49,21.6,"Normal",23.15,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"712",3656,115,205,50.2,22.7,"Normal",23.15,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"713",3656,115,301,54.6,23.5,"Normal",23.15,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"714",3656,115,302,51.9,22.8,"Dominante",23.15,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"715",3656,115,303,45,21,"Normal",23.15,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"716",3656,115,304,46.9,0,"Normal",23.15,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"717",3656,115,305,46.7,0,"Normal",23.15,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"718",3656,115,306,47.4,0,"Normal",23.15,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"719",3656,115,401,54.1,23.5,"Dominante",23.15,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"720",3656,115,402,46.7,0,"Normal",23.15,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"721",3656,115,403,49.4,0,"Normal",23.15,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"722",3656,115,404,49.9,0,"Normal",23.15,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"723",3656,115,405,45.5,0,"Normal",23.15,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"724",3656,115,501,0,0,"Falha",23.15,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"725",3656,115,502,51.5,0,"Normal",23.15,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"726",3656,116,101,0,0,"Falha",22.55,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"727",3656,116,102,52.2,0,"Morta",22.55,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"728",3656,116,103,56,22.4,"Dominante",22.55,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"729",3656,116,201,55.9,22.7,"Dominante",22.55,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"730",3656,116,202,54.3,0,"Bifurcadaacima1.30",22.55,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"731",3656,116,203,52.2,22,"Normal",22.55,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"732",3656,116,204,52.7,22,"Normal",22.55,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"733",3656,116,301,44.8,21,"Normal",22.55,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"734",3656,116,302,44.9,20.8,"Normal",22.55,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"735",3656,116,303,45.4,20.7,"Normal",22.55,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"736",3656,116,304,47.8,21.3,"Normal",22.55,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"737",3656,116,305,39.3,0,"Normal",22.55,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"738",3656,116,401,0,0,"Falha",22.55,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"739",3656,116,402,52.3,0,"Bifurcadaabaixo1.30",22.55,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"740",3656,116,402,28.8,0,"Outros Fustes",22.55,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"741",3656,116,403,45.7,0,"Normal",22.55,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"742",3656,116,404,43.3,0,"Bifurcadaabaixo1.30",22.55,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"743",3656,116,404,29.1,0,"Outros Fustes",22.55,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"744",3656,116,405,45.5,0,"Bifurcadaacima1.30",22.55,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"745",3656,116,501,45,0,"Normal",22.55,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"746",3656,116,502,50.8,0,"Normal",22.55,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"747",3656,116,503,48.8,0,"Normal",22.55,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"748",3656,117,101,45.8,21.1,"Normal",21,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"749",3656,117,102,52.5,21.4,"Normal",21,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"750",3656,117,103,45.4,0,"Bifurcadaabaixo1.30",21,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"751",3656,117,103,25,0,"Outros Fustes",21,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"752",3656,117,201,50.4,0,"Bifurcadaacima1.30",21,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"753",3656,117,202,36.2,18.9,"Normal",21,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"754",3656,117,203,50.5,0,"Bifurcadaabaixo1.30",21,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"755",3656,117,203,22.2,0,"Outros Fustes",21,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"756",3656,117,204,42.7,0,"Bifurcadaacima1.30",21,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"757",3656,117,301,53.7,20.5,"Normal",21,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"758",3656,117,302,43.4,19.1,"Normal",21,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"759",3656,117,303,37.3,0,"Bifurcadaabaixo1.30",21,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"760",3656,117,303,35.9,0,"Outros Fustes",21,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"761",3656,117,304,54.2,21.2,"Dominante",21,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"762",3656,117,401,52.2,0,"Bifurcadaacima1.30",21,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"763",3656,117,402,53.6,21,"Normal",21,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"764",3656,117,403,48.5,20.3,"Normal",21,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"765",3656,117,404,45,0,"Bifurcadaacima1.30",21,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"766",3656,117,405,53,0,"Bifurcadaacima1.30",21,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"767",3656,117,406,54.6,20.8,"Dominante",21,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"768",3656,117,501,50.9,0,"Bifurcadaabaixo1.30",21,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"769",3656,117,501,22.1,0,"Outros Fustes",21,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
